Frame,Speed (m/s)
0,0.9800000786781311
1,1.470000147819519
2,1.8998506070732295
3,0.8367515041324763
4,0.3086537001116903
5,0.05738729108282724
6,0.04975791218236469
7,0.08515526163585783
8,0.08732204936454453
9,0.07607080618584117
10,0.0610819917681884
11,0.04669584989699784
12,0.03454157552485231
13,0.024955165929860013
14,0.017711195048049962
15,0.01239626535531748
16,0.00857932529273694
17,0.005881567900022624
18,0.004002223946476737
19,0.002703742613104963
20,0.001818697357211414
21,0.4181553300350118
22,1.1615222701939214
23,1.8468924444979455
24,2.402373460112602
25,2.8670727368547757
26,3.29688588291706
27,3.694068397625477
28,4.067117276325784
29,4.426984626646496
30,4.778449996407968
31,5.125439819470364
32,5.46901366978756
33,5.57498192069218
34,5.757398810557226
35,5.960721931136585
36,6.296140500759334
37,6.675448208028729
38,6.989334004393427
39,7.29621119279638
40,7.669355834753694
41,8.014311691041254
42,8.413279652613467
43,8.751366847310578
44,9.023491165343803
45,9.246995190767388
46,9.508873104906835
47,9.729777514266713
48,9.962410799897832
49,10.10775205237331
50,10.137097851937932
51,10.01142952539783
52,9.868101272884154
53,9.691735135518858
54,9.486590528737816
55,9.19451030982672
56,8.93021286075668
57,8.60793201910381
58,8.332604797819515
59,8.00365660187743
60,7.732518229096814
61,7.40752818120103
62,7.146820729061194
63,6.830287687597636
64,6.601103423857975
65,6.390512887275668
66,6.3182232293004885
67,6.282347445078965
68,6.380310731902922
69,6.519926035231983
70,6.725125029180788
71,6.795983138111047
72,6.833226728192549
73,6.84591279160158
74,6.863022071088939
75,6.788213203133087
76,6.695440920586338
77,6.484870449045638
78,6.315793728773268
79,6.166646219994459
80,6.122000482391805
81,6.091784305697382
82,6.189765976102052
83,6.322031283935227
84,6.513280076658212
85,6.762346746165608
86,7.14141669080205
87,7.518735617597515
88,7.883195979166853
89,8.222288999315262
90,8.609455004749067
91,8.967214726904547
92,9.380066342138667
93,9.763700992293069
94,10.123872556302974
95,10.392900233238633
96,10.632938572609207
97,10.817775627191086
98,10.851361498037935
99,10.772888661221781
100,10.690624854055006
101,10.498415507706802
102,10.317511126983202
103,10.177964153421309
104,10.115318801923111
105,10.04882349539184
106,10.0162856281693
107,9.95737709119493
108,9.917040354050473
109,9.845663230641177
110,9.813175680396768
111,9.727593791567099
112,9.688502642722904
113,9.623972733618215
114,9.575527092599344
115,9.510581579647605
116,9.472303363737474
117,9.433834406482541
118,9.453392799324481
119,9.48370817571439
120,9.53199278571907
121,9.549095609894279
122,9.6089274890996
